country-year,country,year,suicides_no,population,suicides/100k pop,year_gdp,gdp_per_capita
Brazil1988,Brazil,1988,4466,125701294,65.36000000000001,330000000000.0,2630.0
Brazil1989,Brazil,1989,4463,128570308,64.02,426000000000.0,3310.0
Brazil1990,Brazil,1990,4803,131387553,67.05999999999999,462000000000.0,3520.0
Brazil1991,Brazil,1991,5156,134281850,68.34000000000002,603000000000.0,4490.0
Brazil1992,Brazil,1992,5207,137007021,64.92,401000000000.0,2920.0
Brazil1993,Brazil,1993,5508,139615477,67.86,438000000000.0,3140.0
Brazil1994,Brazil,1994,5896,142188450,71.51,558000000000.0,3930.0
Brazil1995,Brazil,1995,6536,144783591,75.23999999999998,769000000000.0,5310.0
Brazil1996,Brazil,1996,6698,147353130,73.33,850000000000.0,5770.0
Brazil1997,Brazil,1997,6891,149932627,76.80000000000001,883000000000.0,5890.0
Brazil1998,Brazil,1998,6922,152524311,75.05,864000000000.0,5660.0
Brazil1999,Brazil,1999,6507,155122073,67.64999999999999,599000000000.0,3860.0
Brazil2000,Brazil,2000,6763,157715991,68.22999999999999,655000000000.0,4160.0
Brazil2001,Brazil,2001,7710,160178796,73.49000000000001,559000000000.0,3490.0
Brazil2002,Brazil,2002,7697,162761414,69.77,508000000000.0,3120.0
Brazil2003,Brazil,2003,7839,165396911,68.07000000000001,558000000000.0,3380.0
Brazil2004,Brazil,2004,7995,167993068,70.22,669000000000.0,3980.0
Brazil2005,Brazil,2005,8529,170483960,73.60000000000001,892000000000.0,5230.0
Brazil2006,Brazil,2006,8618,172974722,69.89999999999999,1110000000000.0,6400.0
Brazil2007,Brazil,2007,8855,175293192,71.67999999999999,1400000000000.0,7970.0
Brazil2008,Brazil,2008,9184,177471632,72.21000000000001,1700000000000.0,9560.0
Brazil2009,Brazil,2009,9346,179569551,70.37,1670000000000.0,9280.0
Brazil2010,Brazil,2010,9429,181629712,72.73,2210000000000.0,12200.0
Brazil2011,Brazil,2011,9822,183656441,72.41000000000001,2620000000000.0,14200.0
Brazil2012,Brazil,2012,10295,185591215,74.45000000000002,2470000000000.0,13300.0
Brazil2013,Brazil,2013,10513,187458852,73.41000000000001,2470000000000.0,13200.0
Brazil2014,Brazil,2014,10631,189285554,73.13000000000001,2460000000000.0,13000.0
Brazil2015,Brazil,2015,11163,191087085,77.45,1800000000000.0,9430.0
Bulgaria1985,Bulgaria,1985,1456,8392500,303.11999999999995,17200000000.0,2044.0
Bulgaria1986,Bulgaria,1986,1408,8391500,275.48,20200000000.0,2413.0
Bulgaria1987,Bulgaria,1987,1492,8375400,308.3999999999999,28100000000.0,3355.0
Bulgaria1988,Bulgaria,1988,1452,8389800,292.49000000000007,22600000000.0,2688.0
Bulgaria1989,Bulgaria,1989,1460,8403200,292.19,22000000000.0,2617.0
Bulgaria1990,Bulgaria,1990,1323,8418500,256.43,20600000000.0,2451.0
Bulgaria1991,Bulgaria,1991,1384,8431900,268.94,10900000000.0,1298.0
Bulgaria1992,Bulgaria,1992,1519,8041500,310.5999999999999,10400000000.0,1287.0
Bulgaria1993,Bulgaria,1993,1470,8001000,278.36000000000007,10800000000.0,1354.0
Bulgaria1994,Bulgaria,1994,1464,7995500,288.39,9700000000.0,1213.0
Bulgaria1995,Bulgaria,1995,1433,7983900,277.85,13100000000.0,1636.0
Bulgaria1996,Bulgaria,1996,1526,7963300,296.20000000000005,10100000000.0,1270.0
Bulgaria1997,Bulgaria,1997,1465,7933900,276.36,11200000000.0,1411.0
Bulgaria1998,Bulgaria,1998,1503,7899500,304.61,14600000000.0,1852.0
Bulgaria1999,Bulgaria,1999,1307,7866600,250.70999999999998,13500000000.0,1715.0
Bulgaria2000,Bulgaria,2000,1383,7829095,259.22,13200000000.0,1680.0
Bulgaria2001,Bulgaria,2001,1314,7591926,244.62,14100000000.0,1854.0
Bulgaria2002,Bulgaria,2002,1317,7544410,247.35,16300000000.0,2157.0
Bulgaria2003,Bulgaria,2003,1092,7493166,207.65,21000000000.0,2800.0
Bulgaria2004,Bulgaria,2004,1013,7447563,184.11999999999998,26000000000.0,3485.0
Bulgaria2005,Bulgaria,2005,982,7404051,178.06,29600000000.0,4003.0
Bulgaria2006,Bulgaria,2006,977,7358508,186.53,34100000000.0,4638.0
Bulgaria2007,Bulgaria,2007,902,7312474,173.77,44400000000.0,6073.0
Bulgaria2008,Bulgaria,2008,939,7267511,170.34,54400000000.0,7487.0
Bulgaria2009,Bulgaria,2009,868,7219817,154.42,51900000000.0,7186.0
Bulgaria2010,Bulgaria,2010,859,7162740,158.25000000000006,50600000000.0,7066.0
Bulgaria2011,Bulgaria,2011,763,7056527,133.51999999999998,57400000000.0,8137.0
Bulgaria2012,Bulgaria,2012,872,6959652,164.17,53900000000.0,7745.0
Bulgaria2013,Bulgaria,2013,721,6920644,134.16000000000003,55800000000.0,8057.0
Bulgaria2014,Bulgaria,2014,724,6883874,139.77,56700000000.0,8241.0
Cabo Verde2011,Cabo Verde,2011,42,452179,133.84,1860000000.0,4124.0
Canada1985,Canada,1985,3258,23499900,166.46,365000000000.0,15500.0
Canada1986,Canada,1986,3670,23499100,190.10999999999999,377000000000.0,16100.0
Canada1987,Canada,1987,3591,23798100,179.32999999999998,431000000000.0,18100.0
Canada1988,Canada,1988,3510,24080600,175.38,507000000000.0,21100.0
Canada1989,Canada,1989,3491,24368400,170.98,565000000000.0,23200.0
Canada1990,Canada,1990,3378,24704400,165.01999999999995,594000000000.0,24000.0
Canada1991,Canada,1991,3593,25390400,167.78000000000003,610000000000.0,24000.0
Canada1992,Canada,1992,3708,26454400,163.6,592000000000.0,22400.0
Canada1993,Canada,1993,3803,26944700,164.01999999999998,577000000000.0,21400.0
Canada1994,Canada,1994,3748,27246000,161.91000000000003,578000000000.0,21200.0
Canada1995,Canada,1995,3968,27618500,163.52,604000000000.0,21900.0
Canada1996,Canada,1996,3941,27706600,162.89000000000001,629000000000.0,22700.0
Canada1997,Canada,1997,3681,28085100,151.43000000000004,653000000000.0,23200.0
Canada1998,Canada,1998,3699,28372536,150.12,632000000000.0,22300.0
Canada1999,Canada,1999,4074,28681643,158.44000000000003,676000000000.0,23600.0
Canada2000,Canada,2000,3606,29008565,139.00000000000003,742000000000.0,25600.0
Canada2001,Canada,2001,3694,29262055,137.43,736000000000.0,25200.0
Canada2002,Canada,2002,3650,29642114,137.73000000000002,758000000000.0,25600.0
Canada2003,Canada,2003,3765,29958833,137.27,892000000000.0,29800.0
Canada2004,Canada,2004,3613,30283966,131.66,1020000000000.0,33800.0
Canada2005,Canada,2005,3743,30597090,133.84,1170000000000.0,38200.0
Canada2006,Canada,2006,3512,30902962,126.42999999999999,1320000000000.0,42600.0
Canada2007,Canada,2007,3611,31242631,127.45,1460000000000.0,46900.0
Canada2008,Canada,2008,3705,31588641,127.59,1550000000000.0,49000.0
Canada2009,Canada,2009,3890,31937357,130.66999999999996,1370000000000.0,42900.0
Canada2010,Canada,2010,3951,32286140,132.67000000000002,1610000000000.0,50000.0
Canada2011,Canada,2011,3728,32615418,125.02000000000001,1790000000000.0,54800.0
Canada2012,Canada,2012,3926,32961196,127.87999999999998,1820000000000.0,55300.0
Canada2013,Canada,2013,4054,33314836,133.09,1840000000000.0,55300.0
Chile1985,Chile,1985,683,10675400,108.91000000000003,17700000000.0,1658.0
Chile1986,Chile,1986,654,10931700,90.94,18900000000.0,1728.0
Chile1987,Chile,1987,693,11209000,89.42,22300000000.0,1985.0
Chile1988,Chile,1988,697,11306000,94.89999999999999,26000000000.0,2303.0
Chile1989,Chile,1989,725,11501000,100.44,29900000000.0,2599.0
Chile1990,Chile,1990,743,11709000,91.86,33100000000.0,2828.0
Chile1991,Chile,1991,787,11871000,98.83000000000003,37800000000.0,3187.0
Chile1992,Chile,1992,658,12125000,78.88,46000000000.0,3791.0
Chile1993,Chile,1993,740,12306400,103.18000000000002,49300000000.0,4006.0
Chile1994,Chile,1994,801,12526600,95.33999999999999,57000000000.0,4551.0
Chile1995,Chile,1995,930,12897643,108.91,73400000000.0,5695.0
Chile1996,Chile,1996,917,13125089,95.71000000000001,78000000000.0,5946.0
Chile1997,Chile,1997,910,13339550,100.13,85000000000.0,6368.0
Chile1998,Chile,1998,1031,13543940,109.77,81600000000.0,6023.0
Chile1999,Chile,1999,1041,13743882,111.85999999999999,75200000000.0,5470.0
Chile2000,Chile,2000,1473,13943575,149.18000000000004,77900000000.0,5584.0
Chile2001,Chile,2001,1625,14139590,147.58,71000000000.0,5020.0
Chile2002,Chile,2002,1603,14332840,149.28,69700000000.0,4866.0
Chile2003,Chile,2003,1654,14523758,153.54,75600000000.0,5208.0
Chile2004,Chile,2004,1735,14710993,155.69,99200000000.0,6744.0
Chile2005,Chile,2005,1682,14893574,147.43,123000000000.0,8260.0
Chile2006,Chile,2006,1795,15071596,155.06,155000000000.0,10300.0
Chile2007,Chile,2007,1848,15245435,150.92000000000002,174000000000.0,11400.0
Chile2008,Chile,2008,2088,15415661,167.88,180000000000.0,11700.0
Chile2009,Chile,2009,2148,15584149,174.3,172000000000.0,11100.0
Chile2010,Chile,2010,2001,15751851,162.87999999999997,219000000000.0,13900.0
Chile2011,Chile,2011,2027,15910783,160.83999999999997,252000000000.0,15900.0
Chile2012,Chile,2012,1841,16075247,148.41000000000003,267000000000.0,16600.0
Chile2013,Chile,2013,1738,16242244,134.52,278000000000.0,17100.0
Chile2014,Chile,2014,1789,16406867,137.36999999999998,261000000000.0,15900.0
Chile2015,Chile,2015,1838,16565725,147.68,244000000000.0,14700.0
Colombia1985,Colombia,1985,1001,25052400,62.559999999999995,34900000000.0,1393.0
Colombia1986,Colombia,1986,958,25585600,50.11000000000001,34900000000.0,1366.0
Colombia1987,Colombia,1987,951,28009432,45.169999999999995,36400000000.0,1299.0
Colombia1988,Colombia,1988,912,28649501,50.64,39200000000.0,1369.0
Colombia1989,Colombia,1989,831,29289829,41.690000000000005,39500000000.0,1350.0
Colombia1990,Colombia,1990,865,29930973,43.42999999999999,40300000000.0,1346.0
Colombia1991,Colombia,1991,1010,30584178,43.57,41200000000.0,1348.0
Colombia1992,Colombia,1992,1086,29615400,49.480000000000004,49300000000.0,1664.0
Colombia1993,Colombia,1993,1085,30242200,49.230000000000004,55800000000.0,1845.0
Colombia1994,Colombia,1994,1198,30874600,55.949999999999996,81700000000.0,2646.0
Colombia1995,Colombia,1995,1150,33090899,49.64,92500000000.0,2796.0
Colombia1996,Colombia,1996,1209,33703636,53.17,97200000000.0,2883.0
Colombia1997,Colombia,1997,1242,34338825,52.76999999999999,107000000000.0,3110.0
Colombia1998,Colombia,1998,2052,34987039,81.67999999999999,98400000000.0,2814.0
Colombia1999,Colombia,1999,2143,35629408,84.10000000000001,86200000000.0,2419.0
Colombia2000,Colombia,2000,2358,36252342,89.77999999999999,99900000000.0,2755.0
Colombia2001,Colombia,2001,2412,36884428,88.26999999999998,98200000000.0,2662.0
Colombia2002,Colombia,2002,2379,37478276,81.38,97900000000.0,2613.0
Colombia2003,Colombia,2003,2269,38044513,79.85000000000001,94700000000.0,2489.0
Colombia2004,Colombia,2004,2244,38604716,84.25,117000000000.0,3030.0
Colombia2005,Colombia,2005,2102,39172790,74.84,147000000000.0,3740.0
Colombia2006,Colombia,2006,2177,39708676,78.41,163000000000.0,4100.0
Colombia2007,Colombia,2007,2181,40275206,74.25000000000003,207000000000.0,5150.0
Colombia2008,Colombia,2008,2220,40859129,74.22000000000001,244000000000.0,5970.0
Colombia2009,Colombia,2009,2249,41436173,73.83000000000001,234000000000.0,5640.0
Colombia2010,Colombia,2010,2107,41989103,67.24000000000001,287000000000.0,6840.0
Colombia2011,Colombia,2011,2044,42538305,62.879999999999995,335000000000.0,7890.0
Colombia2012,Colombia,2012,2119,43055864,66.45,370000000000.0,8590.0
Colombia2013,Colombia,2013,2068,43546298,63.529999999999994,380000000000.0,8730.0
Colombia2014,Colombia,2014,2126,44021800,66.62,378000000000.0,8590.0
Colombia2015,Colombia,2015,2332,44490427,70.39999999999999,292000000000.0,6550.0
Costa Rica1985,Costa Rica,1985,128,2236200,69.46,4800000000.0,2145.0
Costa Rica1986,Costa Rica,1986,131,2292900,89.84,5480000000.0,2389.0
Costa Rica1987,Costa Rica,1987,119,2400700,85.56000000000002,5840000000.0,2433.0
Costa Rica1988,Costa Rica,1988,138,2465200,88.98000000000002,6060000000.0,2460.0
Costa Rica1989,Costa Rica,1989,167,2556000,84.76999999999998,6870000000.0,2686.0
Costa Rica1990,Costa Rica,1990,157,2627800,93.27000000000002,7400000000.0,2817.0
Costa Rica1991,Costa Rica,1991,125,2704000,61.72,7170000000.0,2651.0
Costa Rica1992,Costa Rica,1992,149,2778400,72.54,8530000000.0,3070.0
Costa Rica1993,Costa Rica,1993,164,2853700,98.83,9540000000.0,3342.0
Costa Rica1994,Costa Rica,1994,162,2929100,80.78999999999999,10400000000.0,3562.0
Costa Rica1995,Costa Rica,1995,209,3135200,79.17999999999999,11500000000.0,3672.0
Costa Rica1996,Costa Rica,1996,209,3192446,94.86,11600000000.0,3639.0
Costa Rica1997,Costa Rica,1997,187,3279559,80.63,12600000000.0,3827.0
Costa Rica1998,Costa Rica,1998,223,3365726,92.09,13600000000.0,4046.0
Costa Rica1999,Costa Rica,1999,233,3449923,85.06,14200000000.0,4115.0
Costa Rica2000,Costa Rica,2000,239,3531421,88.28999999999998,14900000000.0,4233.0
Costa Rica2001,Costa Rica,2001,198,3606850,76.03,15900000000.0,4412.0
Costa Rica2002,Costa Rica,2002,275,3680372,95.62000000000002,16500000000.0,4485.0
Costa Rica2003,Costa Rica,2003,315,3751871,115.88,17200000000.0,4583.0
Costa Rica2004,Costa Rica,2004,325,3820857,100.72000000000001,18500000000.0,4850.0
Costa Rica2005,Costa Rica,2005,272,3887096,78.73,20000000000.0,5133.0
Costa Rica2006,Costa Rica,2006,350,3953916,100.83000000000001,22600000000.0,5716.0
Costa Rica2007,Costa Rica,2007,270,4015241,75.35000000000001,26700000000.0,6661.0
Costa Rica2008,Costa Rica,2008,261,4072561,72.26999999999998,30600000000.0,7517.0
Costa Rica2009,Costa Rica,2009,278,4128459,77.37,30600000000.0,7403.0
Costa Rica2010,Costa Rica,2010,311,4184663,84.35000000000001,37300000000.0,8906.0
Costa Rica2011,Costa Rica,2011,316,4235514,89.83000000000001,42300000000.0,9978.0
Costa Rica2012,Costa Rica,2012,302,4290210,80.75999999999999,46500000000.0,10832.0
Costa Rica2013,Costa Rica,2013,311,4347229,89.25999999999999,49700000000.0,11443.0
Costa Rica2014,Costa Rica,2014,268,4403674,70.85,50600000000.0,11485.0
Croatia1995,Croatia,1995,929,4497400,305.53999999999996,22400000000.0,4978.0
Croatia1996,Croatia,1996,1001,4220800,334.78999999999996,23700000000.0,5610.0
Croatia1997,Croatia,1997,946,4295100,313.7,23800000000.0,5546.0
Croatia1998,Croatia,1998,1029,4227900,344.30000000000007,25400000000.0,6015.0
Croatia1999,Croatia,1999,989,4283800,327.28000000000003,23400000000.0,5459.0
Croatia2000,Croatia,2000,926,4118000,322.75,21800000000.0,5288.0
Croatia2001,Croatia,2001,881,4180633,287.54,23300000000.0,5571.0
Croatia2002,Croatia,2002,874,4217300,304.12,26900000000.0,6373.0
Croatia2003,Croatia,2003,865,4225600,281.68999999999994,34700000000.0,8202.0
Croatia2004,Croatia,2004,871,4229600,302.24,41600000000.0,9829.0
Croatia2005,Croatia,2005,874,4235875,269.56999999999994,45400000000.0,10722.0
Croatia2006,Croatia,2006,796,4234946,248.21999999999994,50500000000.0,11914.0
Croatia2007,Croatia,2007,775,4230855,243.45000000000002,60100000000.0,14204.0
Croatia2008,Croatia,2008,793,4225583,265.68999999999994,70500000000.0,16680.0
Croatia2009,Croatia,2009,790,4216050,254.29,62700000000.0,14872.0
Croatia2010,Croatia,2010,776,4203963,241.97,59800000000.0,14232.0
Croatia2011,Croatia,2011,702,4189029,221.10999999999999,62400000000.0,14890.0
Croatia2012,Croatia,2012,776,4054296,239.01,56600000000.0,13952.0
Croatia2013,Croatia,2013,692,4044457,210.29999999999995,58100000000.0,14362.0
Croatia2014,Croatia,2014,722,4030452,222.04,57600000000.0,14299.0
Croatia2015,Croatia,2015,739,4001669,229.67999999999998,49400000000.0,12351.0
Croatia2016,Croatia,2016,683,3567043,213.55999999999997,51300000000.0,12905.0
Cuba1992,Cuba,1992,2299,9915600,369.71,22100000000.0,2227.0
Cuba1993,Cuba,1993,2374,10004200,392.92999999999995,22400000000.0,2236.0
Cuba1994,Cuba,1994,2278,10089300,363.31,28400000000.0,2820.0
Cuba1995,Cuba,1995,2222,10168400,352.76000000000005,30400000000.0,2993.0
Cuba1996,Cuba,1996,2014,10241600,316.2300000000001,25000000000.0,2443.0
Cuba1997,Cuba,1997,2029,10260492,317.4,25400000000.0,2472.0
Cuba1998,Cuba,1998,2056,10307978,326.97999999999996,25700000000.0,2497.0
Cuba1999,Cuba,1999,2050,10350039,306.12000000000006,28400000000.0,2741.0
Cuba2000,Cuba,2000,1845,10397209,272.77000000000004,30600000000.0,2940.0
Cuba2001,Cuba,2001,1652,10433428,244.51,31700000000.0,3037.0
Cuba2002,Cuba,2002,1606,10479415,240.42000000000004,33600000000.0,3205.0
Cuba2003,Cuba,2003,1499,10531074,221.12,35900000000.0,3409.0
Cuba2004,Cuba,2004,1515,10578701,216.12,38200000000.0,3611.0
Cuba2005,Cuba,2005,1397,10616406,205.93999999999997,42600000000.0,4017.0
Cuba2006,Cuba,2006,1376,10653638,202.54999999999995,52700000000.0,4951.0
Cuba2007,Cuba,2007,1307,10678023,188.18000000000004,58600000000.0,5488.0
Cuba2008,Cuba,2008,1377,10693814,190.98999999999995,60800000000.0,5686.0
Cuba2009,Cuba,2009,1477,10708230,201.32999999999996,62100000000.0,5797.0
Cuba2010,Cuba,2010,1558,10725848,202.13000000000002,64300000000.0,5997.0
Cuba2011,Cuba,2011,1529,10748034,207.05,69000000000.0,6419.0
Cuba2012,Cuba,2012,1495,10770535,204.0,73100000000.0,6791.0
Cuba2013,Cuba,2013,1499,10792690,190.45999999999998,77100000000.0,7148.0
Cuba2014,Cuba,2014,1453,10813411,184.62999999999997,80700000000.0,7459.0
Cuba2015,Cuba,2015,1511,10832068,194.31,87100000000.0,8044.0
Cyprus1999,Cyprus,1999,1,856733,1.57,10600000000.0,12389.0
Cyprus2000,Cyprus,2000,7,875229,8.36,10200000000.0,11635.0
Cyprus2004,Cyprus,2004,7,690616,9.169999999999998,17400000000.0,25227.0
Cyprus2005,Cyprus,2005,17,701263,24.739999999999995,18700000000.0,26671.0
Cyprus2006,Cyprus,2006,19,713426,27.639999999999997,20400000000.0,28600.0
Cyprus2007,Cyprus,2007,19,728566,36.17,24100000000.0,33048.0
Cyprus2008,Cyprus,2008,41,747034,59.07000000000001,27800000000.0,37267.0
Cyprus2009,Cyprus,2009,32,767174,55.53,25900000000.0,33816.0
Cyprus2010,Cyprus,2010,38,787081,58.879999999999995,25600000000.0,32477.0
Cyprus2011,Cyprus,2011,30,800820,43.78,27400000000.0,34249.0
Cyprus2012,Cyprus,2012,36,814305,42.89999999999999,25000000000.0,30752.0
Cyprus2013,Cyprus,2013,45,813016,64.61000000000001,24100000000.0,29624.0
Cyprus2014,Cyprus,2014,44,804818,57.1,23400000000.0,29024.0
Cyprus2015,Cyprus,2015,40,796037,49.589999999999996,19700000000.0,24718.0
Cyprus2016,Cyprus,2016,36,711344,47.14999999999999,20200000000.0,25098.0
Czech Republic1990,Czech Republic,1990,1997,9710900,314.21999999999997,40500000000.0,4168.0
Czech Republic1991,Czech Republic,1991,1904,9667500,292.01,29700000000.0,3070.0
Czech Republic1992,Czech Republic,1992,1991,9681900,303.21,34600000000.0,3573.0
Czech Republic1993,Czech Republic,1993,1917,9703400,297.64,40600000000.0,4186.0
Czech Republic1994,Czech Republic,1994,1872,9723700,293.28000000000003,47600000000.0,4891.0
Czech Republic1995,Czech Republic,1995,1733,9744300,264.4,59800000000.0,6134.0
Czech Republic1996,Czech Republic,1996,1568,9763900,243.48,67000000000.0,6861.0
Czech Republic1997,Czech Republic,1997,1666,9786700,234.13000000000002,61800000000.0,6314.0
Czech Republic1998,Czech Republic,1998,1613,9808300,226.7,66500000000.0,6779.0
Czech Republic1999,Czech Republic,1999,1610,9819215,236.93,64900000000.0,6606.0
Czech Republic2000,Czech Republic,2000,1649,9819742,226.64000000000001,61600000000.0,6278.0
Czech Republic2001,Czech Republic,2001,1623,9838083,220.92000000000002,67500000000.0,6863.0
Czech Republic2002,Czech Republic,2002,1534,9752463,212.14999999999998,81900000000.0,8399.0
Czech Republic2003,Czech Republic,2003,1719,9748550,234.88000000000005,99600000000.0,10220.0
Czech Republic2004,Czech Republic,2004,1583,9746647,203.01999999999998,119000000000.0,12200.0
Czech Republic2005,Czech Republic,2005,1565,9761733,193.39999999999998,136000000000.0,14000.0
Czech Republic2006,Czech Republic,2006,1400,9780319,178.4,155000000000.0,15900.0
Czech Republic2007,Czech Republic,2007,1379,9818295,170.78,189000000000.0,19300.0
Czech Republic2008,Czech Republic,2008,1379,9899594,175.00999999999996,236000000000.0,23800.0
Czech Republic2009,Czech Republic,2009,1464,9937407,179.70999999999995,206000000000.0,20700.0
Czech Republic2010,Czech Republic,2010,1502,9945273,175.62,207000000000.0,20900.0
Czech Republic2011,Czech Republic,2011,1590,9906318,186.23999999999998,228000000000.0,23000.0
Czech Republic2012,Czech Republic,2012,1658,9923127,196.23,207000000000.0,20900.0
Czech Republic2013,Czech Republic,2013,1577,9936780,186.07000000000002,209000000000.0,21100.0
Czech Republic2014,Czech Republic,2014,1489,9963127,175.28999999999994,208000000000.0,20900.0
Czech Republic2015,Czech Republic,2015,1387,9989325,170.86999999999998,187000000000.0,18700.0
Czech Republic2016,Czech Republic,2016,1318,8929942,161.76,195000000000.0,19500.0
Denmark1994,Denmark,1994,999,4874900,253.22000000000003,156000000000.0,32000.0
Denmark1995,Denmark,1995,924,4889100,239.13000000000005,185000000000.0,37800.0
Denmark1996,Denmark,1996,892,4917300,229.55999999999997,188000000000.0,38200.0
Denmark1997,Denmark,1997,817,4937300,218.46,174000000000.0,35100.0
Denmark1998,Denmark,1998,763,4956400,188.68,177000000000.0,35700.0
Denmark1999,Denmark,1999,762,4976200,183.09000000000003,178000000000.0,35800.0
Denmark2000,Denmark,2000,728,4998610,181.07000000000002,164000000000.0,32800.0
Denmark2001,Denmark,2001,727,5018451,186.17000000000002,165000000000.0,32800.0
Denmark2002,Denmark,2002,688,5041222,176.51000000000002,179000000000.0,35400.0
Denmark2003,Denmark,2003,633,5056783,156.7,218000000000.0,43100.0
Denmark2004,Denmark,2004,661,5072927,161.78,251000000000.0,49600.0
Denmark2005,Denmark,2005,631,5089852,164.23,264000000000.0,52000.0
Denmark2006,Denmark,2006,650,5110460,162.08,283000000000.0,55400.0
Denmark2007,Denmark,2007,581,5133001,139.95999999999998,319000000000.0,62200.0
Denmark2008,Denmark,2008,603,5162525,143.04999999999998,353000000000.0,68400.0
Denmark2009,Denmark,2009,622,5192790,144.7,321000000000.0,61900.0
Denmark2010,Denmark,2010,563,5217785,130.02,322000000000.0,61700.0
Denmark2011,Denmark,2011,589,5244150,126.33,344000000000.0,65600.0
Denmark2012,Denmark,2012,661,5270539,143.20999999999998,327000000000.0,62100.0
Denmark2013,Denmark,2013,610,5299698,134.54999999999998,344000000000.0,64800.0
Denmark2014,Denmark,2014,629,5339166,137.73,353000000000.0,66100.0
Denmark2015,Denmark,2015,564,5383060,121.42,301000000000.0,56000.0
Dominica1985,Dominica,1985,0,66400,0.0,98600000.0,1485.0
Ecuador1985,Ecuador,1985,393,7661800,82.51999999999998,17100000000.0,2238.0
Ecuador1986,Ecuador,1986,377,7881300,76.54,15300000000.0,1943.0
Ecuador1987,Ecuador,1987,390,8356800,62.53,13900000000.0,1669.0
Ecuador1988,Ecuador,1988,466,8593200,75.28999999999999,13100000000.0,1519.0
Ecuador1989,Ecuador,1989,431,8578619,70.38,13900000000.0,1619.0
Ecuador1990,Ecuador,1990,448,8800933,60.48,15200000000.0,1732.0
Ecuador1991,Ecuador,1991,494,9091700,66.96,17000000000.0,1869.0
Ecuador1992,Ecuador,1992,505,9253155,75.80000000000001,18100000000.0,1955.0
Ecuador1993,Ecuador,1993,574,9488483,70.91000000000001,18900000000.0,1996.0
Ecuador1994,Ecuador,1994,512,9725255,67.67,22700000000.0,2335.0
Ecuador1995,Ecuador,1995,546,9960563,68.22,24400000000.0,2453.0
Ecuador1996,Ecuador,1996,593,10195848,76.34000000000002,25200000000.0,2474.0
Ecuador1997,Ecuador,1997,579,10427773,67.02,28200000000.0,2701.0
Ecuador1998,Ecuador,1998,546,10656446,62.07,28000000000.0,2626.0
Ecuador1999,Ecuador,1999,616,10883283,71.92999999999999,19600000000.0,1805.0
Ecuador2000,Ecuador,2000,534,11109383,57.17000000000001,18300000000.0,1650.0
Ecuador2001,Ecuador,2001,584,11328328,67.24,24500000000.0,2160.0
Ecuador2002,Ecuador,2002,577,11548770,61.42,28500000000.0,2472.0
Ecuador2003,Ecuador,2003,675,11771002,70.56,32400000000.0,2755.0
Ecuador2004,Ecuador,2004,791,11994153,84.38999999999999,36600000000.0,3051.0
Ecuador2005,Ecuador,2005,943,12217643,96.73000000000002,41500000000.0,3397.0
Ecuador2006,Ecuador,2006,900,12449374,93.07,46800000000.0,3759.0
Ecuador2007,Ecuador,2007,1005,12677354,95.97,51000000000.0,4024.0
Ecuador2008,Ecuador,2008,928,12903183,95.28999999999999,61800000000.0,4787.0
Ecuador2009,Ecuador,2009,964,13130161,94.25,62500000000.0,4762.0
Ecuador2010,Ecuador,2010,912,13360285,81.48999999999998,69600000000.0,5206.0
Ecuador2011,Ecuador,2011,918,13583553,81.8,79300000000.0,5836.0
Ecuador2012,Ecuador,2012,976,13815861,84.87999999999998,87900000000.0,6364.0
Ecuador2013,Ecuador,2013,676,14054613,62.88000000000001,95100000000.0,6769.0
Ecuador2014,Ecuador,2014,734,14295145,66.02000000000001,102000000000.0,7120.0
Ecuador2015,Ecuador,2015,1073,14534024,97.39,99300000000.0,6832.0
El Salvador1990,El Salvador,1990,571,4510552,184.46,4820000000.0,1068.0
El Salvador1991,El Salvador,1991,474,4576985,171.29999999999998,5250000000.0,1148.0
El Salvador1992,El Salvador,1992,419,4591600,120.61999999999999,5810000000.0,1266.0
El Salvador1993,El Salvador,1993,424,4694300,123.69,6680000000.0,1423.0
El Salvador1995,El Salvador,1995,620,4836397,159.19000000000003,8920000000.0,1845.0
El Salvador1996,El Salvador,1996,540,4892391,145.16000000000003,9590000000.0,1959.0
El Salvador1997,El Salvador,1997,577,4949302,140.00000000000003,10200000000.0,2065.0
El Salvador1998,El Salvador,1998,512,5006338,122.82999999999998,10900000000.0,2185.0
El Salvador1999,El Salvador,1999,515,5062759,127.96000000000001,11300000000.0,2229.0
El Salvador2000,El Salvador,2000,461,5118189,110.55000000000001,11800000000.0,2303.0
El Salvador2001,El Salvador,2001,514,5175094,129.70999999999998,12300000000.0,2373.0
El Salvador2002,El Salvador,2002,436,5230458,113.19,12700000000.0,2421.0
El Salvador2003,El Salvador,2003,527,5283542,128.92,13200000000.0,2507.0
El Salvador2004,El Salvador,2004,464,5333170,111.55999999999999,13700000000.0,2573.0
El Salvador2005,El Salvador,2005,455,5378879,115.73000000000002,14700000000.0,2733.0
El Salvador2006,El Salvador,2006,411,5429044,99.57000000000001,16000000000.0,2947.0
El Salvador2007,El Salvador,2007,501,5467861,127.14000000000003,17000000000.0,3111.0
El Salvador2008,El Salvador,2008,490,5499287,125.82,18000000000.0,3271.0
El Salvador2009,El Salvador,2009,506,5528910,124.12,17600000000.0,3184.0
El Salvador2010,El Salvador,2010,399,5560453,97.92,18400000000.0,3318.0
